other vegetables,whole milk,736
rolls/buns,whole milk,557
whole milk,yogurt,551
root vegetables,whole milk,481
other vegetables,root vegetables,466
other vegetables,yogurt,427
other vegetables,rolls/buns,419
tropical fruit,whole milk,416
soda,whole milk,394
rolls/buns,soda,377
other vegetables,tropical fruit,353
bottled water,whole milk,338
rolls/buns,yogurt,338
pastry,whole milk,327
other vegetables,soda,322
whipped/sour cream,whole milk,317
rolls/buns,sausage,301
citrus fruit,whole milk,300
pip fruit,whole milk,296
domestic eggs,whole milk,295
sausage,whole milk,294
tropical fruit,yogurt,288
bottled water,soda,285
other vegetables,whipped/sour cream,284
citrus fruit,other vegetables,284
butter,whole milk,271
soda,yogurt,269
newspapers,whole milk,269
other vegetables,sausage,265
fruit/vegetable juice,whole milk,262
curd,whole milk,257
other vegetables,pip fruit,257
root vegetables,yogurt,254
brown bread,whole milk,248
bottled water,other vegetables,244
rolls/buns,tropical fruit,242
shopping bags,soda,242
shopping bags,whole milk,241
rolls/buns,root vegetables,239
sausage,soda,239
margarine,whole milk,238
bottled water,rolls/buns,238
other vegetables,shopping bags,228
bottled water,yogurt,226
other vegetables,pastry,222
domestic eggs,other vegetables,219
pork,whole milk,218
citrus fruit,yogurt,213
other vegetables,pork,213
beef,whole milk,209
root vegetables,tropical fruit,207
pastry,soda,207
fruit/vegetable juice,other vegetables,207
pastry,rolls/buns,206
soda,tropical fruit,205
whipped/sour cream,yogurt,204
frankfurter,whole milk,202
bottled beer,whole milk,201
frozen vegetables,whole milk,201
pip fruit,tropical fruit,201
butter,other vegetables,197
citrus fruit,tropical fruit,196
margarine,other vegetables,194
beef,other vegetables,194
newspapers,rolls/buns,194
napkins,whole milk,194
sausage,yogurt,193
rolls/buns,shopping bags,192
newspapers,other vegetables,190
frankfurter,rolls/buns,189
brown bread,other vegetables,184
fruit/vegetable juice,yogurt,184
coffee,whole milk,184
root vegetables,soda,183
bottled water,tropical fruit,182
fruit/vegetable juice,soda,181
pip fruit,yogurt,177
chicken,other vegetables,176
frozen vegetables,other vegetables,175
pastry,yogurt,174
citrus fruit,root vegetables,174
chicken,whole milk,173
beef,root vegetables,171
curd,yogurt,170
curd,other vegetables,169
root vegetables,whipped/sour cream,168
white bread,whole milk,168
bottled beer,soda,167
citrus fruit,rolls/buns,165
chocolate,whole milk,164
cream cheese,whole milk,162
frankfurter,other vegetables,162
bottled beer,other vegetables,159
bottled beer,bottled water,155
sausage,shopping bags,154
bottled water,root vegetables,154
domestic eggs,rolls/buns,154
pip fruit,root vegetables,153
newspapers,yogurt,151
shopping bags,yogurt,150
sugar,whole milk,148
root vegetables,sausage,147
margarine,rolls/buns,145
hamburger meat,whole milk,145
rolls/buns,whipped/sour cream,144
butter,yogurt,144
newspapers,soda,144
brown bread,yogurt,143
fruit/vegetable juice,rolls/buns,143
napkins,other vegetables,142
domestic eggs,yogurt,141
domestic eggs,root vegetables,141
bottled water,fruit/vegetable juice,140
onions,other vegetables,140
margarine,yogurt,140
pip fruit,rolls/buns,137
sausage,tropical fruit,137
canned beer,soda,136
hamburger meat,other vegetables,136
tropical fruit,whipped/sour cream,136
citrus fruit,pip fruit,136
cream cheese,other vegetables,135
other vegetables,white bread,135
dessert,whole milk,135
fruit/vegetable juice,tropical fruit,135
bottled beer,rolls/buns,134
beef,rolls/buns,134
pork,root vegetables,134
chocolate,soda,133
shopping bags,tropical fruit,133
long life bakery product,whole milk,133
bottled water,citrus fruit,133
butter,rolls/buns,132
coffee,other vegetables,132
pip fruit,soda,131
pastry,tropical fruit,130
butter,root vegetables,127
root vegetables,shopping bags,126
citrus fruit,soda,126
hygiene articles,whole milk,126
chocolate,other vegetables,125
waffles,whole milk,125
brown bread,soda,124
brown bread,rolls/buns,124
pastry,sausage,123
frozen vegetables,yogurt,122
cream cheese,yogurt,122
domestic eggs,soda,122
napkins,yogurt,121
onions,whole milk,119
bottled water,sausage,118
fruit/vegetable juice,root vegetables,118
napkins,soda,118
pork,soda,117
pastry,shopping bags,117
chocolate,rolls/buns,116
newspapers,tropical fruit,116
berries,whole milk,116
napkins,rolls/buns,115
beef,yogurt,115
soda,whipped/sour cream,114
dessert,other vegetables,114
butter milk,whole milk,114
frozen vegetables,root vegetables,114
ham,whole milk,113
newspapers,root vegetables,113
canned beer,shopping bags,112
domestic eggs,tropical fruit,112
canned beer,rolls/buns,111
bottled water,newspapers,111
frankfurter,soda,111
oil,whole milk,111
pork,rolls/buns,111
citrus fruit,sausage,111
frankfurter,yogurt,110
salty snack,whole milk,110
margarine,root vegetables,109
pastry,root vegetables,108
bottled water,shopping bags,108
coffee,rolls/buns,108
curd,root vegetables,107
citrus fruit,whipped/sour cream,107
chicken,root vegetables,107
other vegetables,sugar,106
pip fruit,sausage,106
other vegetables,salty snack,106
sliced cheese,whole milk,106
brown bread,tropical fruit,105
pastry,pip fruit,105
long life bakery product,other vegetables,105
fruit/vegetable juice,shopping bags,105
brown bread,sausage,105
berries,yogurt,104
bottled water,pip fruit,104
curd,whipped/sour cream,103
citrus fruit,domestic eggs,102
citrus fruit,fruit/vegetable juice,102
butter milk,other vegetables,102
curd,tropical fruit,101
berries,other vegetables,101
bottled water,margarine,101
soda,white bread,101
brown bread,root vegetables,100
butter,whipped/sour cream,100
margarine,soda,100
frozen vegetables,rolls/buns,100
frankfurter,root vegetables,100
curd,rolls/buns,99
fruit/vegetable juice,sausage,99
frankfurter,sausage,99
other vegetables,waffles,99
hard cheese,whole milk,99
